Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,086282,1970,07,13.1,Y
IDCJAC0002,086282,1970,08,13.4,Y
IDCJAC0002,086282,1970,09,14.6,Y
IDCJAC0002,086282,1970,10,18.8,Y
IDCJAC0002,086282,1970,11,21.7,Y
IDCJAC0002,086282,1970,12,24.4,Y
IDCJAC0002,086282,1971,01,26.0,Y
IDCJAC0002,086282,1971,02,26.8,Y
IDCJAC0002,086282,1971,03,25.5,Y
IDCJAC0002,086282,1971,04,21.5,Y
IDCJAC0002,086282,1971,05,15.9,Y
IDCJAC0002,086282,1971,06,13.2,Y
IDCJAC0002,086282,1971,07,13.0,Y
IDCJAC0002,086282,1971,08,13.8,Y
IDCJAC0002,086282,1971,09,16.1,Y
IDCJAC0002,086282,1971,10,18.1,Y
IDCJAC0002,086282,1971,11,19.4,Y
IDCJAC0002,086282,1971,12,24.4,Y
IDCJAC0002,086282,1972,01,25.0,Y
IDCJAC0002,086282,1972,02,26.8,Y
IDCJAC0002,086282,1972,03,23.3,Y
IDCJAC0002,086282,1972,04,20.3,Y
IDCJAC0002,086282,1972,05,17.6,Y
IDCJAC0002,086282,1972,06,13.9,Y
IDCJAC0002,086282,1972,07,13.4,Y
IDCJAC0002,086282,1972,08,14.9,Y
IDCJAC0002,086282,1972,09,19.0,Y
IDCJAC0002,086282,1972,10,19.8,Y
IDCJAC0002,086282,1972,11,20.9,Y
IDCJAC0002,086282,1972,12,26.5,Y
IDCJAC0002,086282,1973,01,27.7,Y
IDCJAC0002,086282,1973,02,25.6,Y
IDCJAC0002,086282,1973,03,20.9,Y
IDCJAC0002,086282,1973,04,20.2,Y
IDCJAC0002,086282,1973,05,15.8,Y
IDCJAC0002,086282,1973,06,13.0,Y
IDCJAC0002,086282,1973,07,12.5,Y
IDCJAC0002,086282,1973,08,13.3,Y
IDCJAC0002,086282,1973,09,16.9,Y
IDCJAC0002,086282,1973,10,19.7,Y
IDCJAC0002,086282,1973,11,20.2,Y
IDCJAC0002,086282,1973,12,25.8,Y
IDCJAC0002,086282,1974,01,28.2,Y
IDCJAC0002,086282,1974,02,25.9,Y
IDCJAC0002,086282,1974,03,26.3,Y
IDCJAC0002,086282,1974,04,18.5,Y
IDCJAC0002,086282,1974,05,16.6,Y
IDCJAC0002,086282,1974,06,13.5,Y
IDCJAC0002,086282,1974,07,12.9,Y
IDCJAC0002,086282,1974,08,13.4,Y
IDCJAC0002,086282,1974,09,14.9,Y
IDCJAC0002,086282,1974,10,17.6,Y
IDCJAC0002,086282,1974,11,19.6,Y
IDCJAC0002,086282,1974,12,23.8,Y
IDCJAC0002,086282,1975,01,24.8,Y
IDCJAC0002,086282,1975,02,27.6,Y
IDCJAC0002,086282,1975,03,23.1,Y
IDCJAC0002,086282,1975,04,19.0,Y
IDCJAC0002,086282,1975,05,17.5,Y
IDCJAC0002,086282,1975,06,13.4,Y
IDCJAC0002,086282,1975,07,15.1,Y
IDCJAC0002,086282,1975,08,13.2,Y
IDCJAC0002,086282,1975,09,16.8,Y
IDCJAC0002,086282,1975,10,17.9,Y
IDCJAC0002,086282,1975,11,22.2,Y
IDCJAC0002,086282,1975,12,24.3,Y
IDCJAC0002,086282,1976,01,25.7,Y
IDCJAC0002,086282,1976,02,27.5,Y
IDCJAC0002,086282,1976,03,24.5,Y
IDCJAC0002,086282,1976,04,20.4,Y
IDCJAC0002,086282,1976,05,16.5,Y
IDCJAC0002,086282,1976,06,13.5,Y
IDCJAC0002,086282,1976,07,13.5,Y
IDCJAC0002,086282,1976,08,13.9,Y
IDCJAC0002,086282,1976,09,15.8,Y
IDCJAC0002,086282,1976,10,16.3,Y
IDCJAC0002,086282,1976,11,20.5,Y
IDCJAC0002,086282,1976,12,25.3,Y
IDCJAC0002,086282,1977,01,26.7,Y
IDCJAC0002,086282,1977,02,26.4,Y
IDCJAC0002,086282,1977,03,23.8,Y
IDCJAC0002,086282,1977,04,18.0,Y
IDCJAC0002,086282,1977,05,15.8,Y
IDCJAC0002,086282,1977,06,12.4,Y
IDCJAC0002,086282,1977,07,11.9,Y
IDCJAC0002,086282,1977,08,15.3,Y
IDCJAC0002,086282,1977,09,14.7,Y
IDCJAC0002,086282,1977,10,20.8,Y
IDCJAC0002,086282,1977,11,22.2,Y
IDCJAC0002,086282,1977,12,24.9,Y
IDCJAC0002,086282,1978,01,24.9,Y
IDCJAC0002,086282,1978,02,25.3,Y
IDCJAC0002,086282,1978,03,22.8,Y
IDCJAC0002,086282,1978,04,19.0,Y
IDCJAC0002,086282,1978,05,17.4,Y
IDCJAC0002,086282,1978,06,12.8,Y
IDCJAC0002,086282,1978,07,12.2,Y
IDCJAC0002,086282,1978,08,13.0,Y
IDCJAC0002,086282,1978,09,16.0,Y
IDCJAC0002,086282,1978,10,19.3,Y
IDCJAC0002,086282,1978,11,21.3,Y
IDCJAC0002,086282,1978,12,22.1,Y
IDCJAC0002,086282,1979,01,28.3,Y
IDCJAC0002,086282,1979,02,26.6,Y
IDCJAC0002,086282,1979,03,24.9,Y
IDCJAC0002,086282,1979,04,18.6,Y
IDCJAC0002,086282,1979,05,15.5,Y
IDCJAC0002,086282,1979,06,14.5,Y
IDCJAC0002,086282,1979,07,12.9,Y
IDCJAC0002,086282,1979,08,13.7,Y
IDCJAC0002,086282,1979,09,15.9,Y
IDCJAC0002,086282,1979,10,18.9,Y
IDCJAC0002,086282,1979,11,21.7,Y
IDCJAC0002,086282,1979,12,26.4,Y
IDCJAC0002,086282,1980,01,24.4,Y
IDCJAC0002,086282,1980,02,25.5,Y
IDCJAC0002,086282,1980,03,23.6,Y
IDCJAC0002,086282,1980,04,21.8,Y
IDCJAC0002,086282,1980,05,17.5,Y
IDCJAC0002,086282,1980,06,12.9,Y
IDCJAC0002,086282,1980,07,12.7,Y
IDCJAC0002,086282,1980,08,15.3,Y
IDCJAC0002,086282,1980,09,18.4,Y
IDCJAC0002,086282,1980,10,20.0,Y
IDCJAC0002,086282,1980,11,22.9,Y
IDCJAC0002,086282,1980,12,26.7,Y
IDCJAC0002,086282,1981,01,29.6,Y
IDCJAC0002,086282,1981,02,28.1,Y
IDCJAC0002,086282,1981,03,23.3,Y
IDCJAC0002,086282,1981,04,22.3,Y
IDCJAC0002,086282,1981,05,16.4,Y
IDCJAC0002,086282,1981,06,12.9,Y
IDCJAC0002,086282,1981,07,12.5,Y
IDCJAC0002,086282,1981,08,13.5,Y
IDCJAC0002,086282,1981,09,17.8,Y
IDCJAC0002,086282,1981,10,19.6,Y
IDCJAC0002,086282,1981,11,21.4,Y
IDCJAC0002,086282,1981,12,24.1,Y
IDCJAC0002,086282,1982,01,28.2,Y
IDCJAC0002,086282,1982,02,26.9,Y
IDCJAC0002,086282,1982,03,25.1,Y
IDCJAC0002,086282,1982,04,21.1,Y
IDCJAC0002,086282,1982,05,16.7,Y
IDCJAC0002,086282,1982,06,12.8,Y
IDCJAC0002,086282,1982,07,12.5,Y
IDCJAC0002,086282,1982,08,17.4,Y
IDCJAC0002,086282,1982,09,16.6,Y
IDCJAC0002,086282,1982,10,19.5,Y
IDCJAC0002,086282,1982,11,26.2,Y
IDCJAC0002,086282,1982,12,24.0,Y
IDCJAC0002,086282,1983,01,24.7,Y
IDCJAC0002,086282,1983,02,29.5,Y
IDCJAC0002,086282,1983,03,24.4,Y
IDCJAC0002,086282,1983,04,17.8,Y
IDCJAC0002,086282,1983,05,15.9,Y
IDCJAC0002,086282,1983,06,12.7,Y
IDCJAC0002,086282,1983,07,12.0,Y
IDCJAC0002,086282,1983,08,14.4,Y
IDCJAC0002,086282,1983,09,15.7,Y
IDCJAC0002,086282,1983,10,17.5,Y
IDCJAC0002,086282,1983,11,20.7,Y
IDCJAC0002,086282,1983,12,24.3,Y
IDCJAC0002,086282,1984,01,24.0,Y
IDCJAC0002,086282,1984,02,26.5,Y
IDCJAC0002,086282,1984,03,22.4,Y
IDCJAC0002,086282,1984,04,19.6,Y
IDCJAC0002,086282,1984,05,17.4,Y
IDCJAC0002,086282,1984,06,13.9,Y
IDCJAC0002,086282,1984,07,12.1,Y
IDCJAC0002,086282,1984,08,14.6,Y
IDCJAC0002,086282,1984,09,14.6,Y
IDCJAC0002,086282,1984,10,19.3,Y
IDCJAC0002,086282,1984,11,22.5,Y
IDCJAC0002,086282,1984,12,23.5,Y
IDCJAC0002,086282,1985,01,24.7,Y
IDCJAC0002,086282,1985,02,25.5,Y
IDCJAC0002,086282,1985,03,26.1,Y
IDCJAC0002,086282,1985,04,21.6,Y
IDCJAC0002,086282,1985,05,17.2,Y
IDCJAC0002,086282,1985,06,12.9,Y
IDCJAC0002,086282,1985,07,12.4,Y
IDCJAC0002,086282,1985,08,13.7,Y
IDCJAC0002,086282,1985,09,15.1,Y
IDCJAC0002,086282,1985,10,19.4,Y
IDCJAC0002,086282,1985,11,20.8,Y
IDCJAC0002,086282,1985,12,22.8,Y
IDCJAC0002,086282,1986,01,22.9,Y
IDCJAC0002,086282,1986,02,26.0,Y
IDCJAC0002,086282,1986,03,25.7,Y
IDCJAC0002,086282,1986,04,19.4,Y
IDCJAC0002,086282,1986,05,15.7,Y
IDCJAC0002,086282,1986,06,12.7,Y
IDCJAC0002,086282,1986,07,12.2,Y
IDCJAC0002,086282,1986,08,14.2,Y
IDCJAC0002,086282,1986,09,15.4,Y
IDCJAC0002,086282,1986,10,17.3,Y
IDCJAC0002,086282,1986,11,20.8,Y
IDCJAC0002,086282,1986,12,22.7,Y
IDCJAC0002,086282,1987,01,24.7,Y
IDCJAC0002,086282,1987,02,26.3,Y
IDCJAC0002,086282,1987,03,21.1,Y
IDCJAC0002,086282,1987,04,20.9,Y
IDCJAC0002,086282,1987,05,16.0,Y
IDCJAC0002,086282,1987,06,13.9,Y
IDCJAC0002,086282,1987,07,12.7,Y
IDCJAC0002,086282,1987,08,14.0,Y
IDCJAC0002,086282,1987,09,17.7,Y
IDCJAC0002,086282,1987,10,18.5,Y
IDCJAC0002,086282,1987,11,22.3,Y
IDCJAC0002,086282,1987,12,22.6,Y
IDCJAC0002,086282,1988,01,28.2,Y
IDCJAC0002,086282,1988,02,25.0,Y
IDCJAC0002,086282,1988,03,25.3,Y
IDCJAC0002,086282,1988,04,21.7,Y
IDCJAC0002,086282,1988,05,17.6,Y
IDCJAC0002,086282,1988,06,14.3,Y
IDCJAC0002,086282,1988,07,13.8,Y
IDCJAC0002,086282,1988,08,14.4,Y
IDCJAC0002,086282,1988,09,17.4,Y
IDCJAC0002,086282,1988,10,20.4,Y
IDCJAC0002,086282,1988,11,21.5,Y
IDCJAC0002,086282,1988,12,24.2,Y
IDCJAC0002,086282,1989,01,24.9,Y
IDCJAC0002,086282,1989,02,26.8,Y
IDCJAC0002,086282,1989,03,24.4,Y
IDCJAC0002,086282,1989,04,20.3,Y
IDCJAC0002,086282,1989,05,16.6,Y
IDCJAC0002,086282,1989,06,12.7,Y
IDCJAC0002,086282,1989,07,12.3,Y
IDCJAC0002,086282,1989,08,12.8,Y
IDCJAC0002,086282,1989,09,16.3,Y
IDCJAC0002,086282,1989,10,18.3,Y
IDCJAC0002,086282,1989,11,21.7,Y
IDCJAC0002,086282,1989,12,25.2,Y
IDCJAC0002,086282,1990,01,26.6,Y
IDCJAC0002,086282,1990,02,24.8,Y
IDCJAC0002,086282,1990,03,24.7,Y
IDCJAC0002,086282,1990,04,20.0,Y
IDCJAC0002,086282,1990,05,16.8,Y
IDCJAC0002,086282,1990,06,13.7,Y
IDCJAC0002,086282,1990,07,13.7,Y
IDCJAC0002,086282,1990,08,13.4,Y
IDCJAC0002,086282,1990,09,16.2,Y
IDCJAC0002,086282,1990,10,19.4,Y
IDCJAC0002,086282,1990,11,22.7,Y
IDCJAC0002,086282,1990,12,26.2,Y
IDCJAC0002,086282,1991,01,25.9,Y
IDCJAC0002,086282,1991,02,25.6,Y
IDCJAC0002,086282,1991,03,24.2,Y
IDCJAC0002,086282,1991,04,19.9,Y
IDCJAC0002,086282,1991,05,16.3,Y
IDCJAC0002,086282,1991,06,14.7,Y
IDCJAC0002,086282,1991,07,12.9,Y
IDCJAC0002,086282,1991,08,13.8,Y
IDCJAC0002,086282,1991,09,15.6,Y
IDCJAC0002,086282,1991,10,20.7,Y
IDCJAC0002,086282,1991,11,21.8,Y
IDCJAC0002,086282,1991,12,22.7,Y
IDCJAC0002,086282,1992,01,21.9,Y
IDCJAC0002,086282,1992,02,24.5,Y
IDCJAC0002,086282,1992,03,24.8,Y
IDCJAC0002,086282,1992,04,21.0,Y
IDCJAC0002,086282,1992,05,16.3,Y
IDCJAC0002,086282,1992,06,13.2,Y
IDCJAC0002,086282,1992,07,13.2,Y
IDCJAC0002,086282,1992,08,13.3,Y
IDCJAC0002,086282,1992,09,13.7,Y
IDCJAC0002,086282,1992,10,18.3,Y
IDCJAC0002,086282,1992,11,19.5,Y
IDCJAC0002,086282,1992,12,23.5,Y
IDCJAC0002,086282,1993,01,26.6,Y
IDCJAC0002,086282,1993,02,26.0,Y
IDCJAC0002,086282,1993,03,22.5,Y
IDCJAC0002,086282,1993,04,22.5,Y
IDCJAC0002,086282,1993,05,17.1,Y
IDCJAC0002,086282,1993,06,13.2,Y
IDCJAC0002,086282,1993,07,13.6,Y
IDCJAC0002,086282,1993,08,16.0,Y
IDCJAC0002,086282,1993,09,16.1,Y
IDCJAC0002,086282,1993,10,18.3,Y
IDCJAC0002,086282,1993,11,20.0,Y
IDCJAC0002,086282,1993,12,22.4,Y
IDCJAC0002,086282,1994,01,24.8,Y
IDCJAC0002,086282,1994,02,25.7,Y
IDCJAC0002,086282,1994,03,22.2,Y
IDCJAC0002,086282,1994,04,20.3,Y
IDCJAC0002,086282,1994,05,16.3,Y
IDCJAC0002,086282,1994,06,14.0,Y
IDCJAC0002,086282,1994,07,14.6,Y
IDCJAC0002,086282,1994,08,14.0,Y
IDCJAC0002,086282,1994,09,15.4,Y
IDCJAC0002,086282,1994,10,19.7,Y
IDCJAC0002,086282,1994,11,21.6,Y
IDCJAC0002,086282,1994,12,27.3,Y
IDCJAC0002,086282,1995,01,26.2,Y
IDCJAC0002,086282,1995,02,26.1,Y
IDCJAC0002,086282,1995,03,22.2,Y
IDCJAC0002,086282,1995,04,17.3,Y
IDCJAC0002,086282,1995,05,15.4,Y
IDCJAC0002,086282,1995,06,12.8,Y
IDCJAC0002,086282,1995,07,11.7,Y
IDCJAC0002,086282,1995,08,15.5,Y
IDCJAC0002,086282,1995,09,15.5,Y
IDCJAC0002,086282,1995,10,17.7,Y
IDCJAC0002,086282,1995,11,20.8,Y
IDCJAC0002,086282,1995,12,20.2,Y
IDCJAC0002,086282,1996,01,24.8,Y
IDCJAC0002,086282,1996,02,23.5,Y
IDCJAC0002,086282,1996,03,23.1,Y
IDCJAC0002,086282,1996,04,17.6,Y
IDCJAC0002,086282,1996,05,15.7,Y
IDCJAC0002,086282,1996,06,14.1,Y
IDCJAC0002,086282,1996,07,12.5,Y
IDCJAC0002,086282,1996,08,14.3,Y
IDCJAC0002,086282,1996,09,15.8,Y
IDCJAC0002,086282,1996,10,19.2,Y
IDCJAC0002,086282,1996,11,20.7,Y
IDCJAC0002,086282,1996,12,22.2,Y
IDCJAC0002,086282,1997,01,27.3,Y
IDCJAC0002,086282,1997,02,30.3,Y
IDCJAC0002,086282,1997,03,22.7,Y
IDCJAC0002,086282,1997,04,20.9,Y
IDCJAC0002,086282,1997,05,15.7,Y
IDCJAC0002,086282,1997,06,13.7,Y
IDCJAC0002,086282,1997,07,12.6,Y
IDCJAC0002,086282,1997,08,14.0,Y
IDCJAC0002,086282,1997,09,16.2,Y
IDCJAC0002,086282,1997,10,20.1,Y
IDCJAC0002,086282,1997,11,22.7,Y
IDCJAC0002,086282,1997,12,24.6,Y
IDCJAC0002,086282,1998,01,26.9,Y
IDCJAC0002,086282,1998,02,27.6,Y
IDCJAC0002,086282,1998,03,24.7,Y
IDCJAC0002,086282,1998,04,18.7,Y
IDCJAC0002,086282,1998,05,16.0,Y
IDCJAC0002,086282,1998,06,13.3,Y
IDCJAC0002,086282,1998,07,12.4,Y
IDCJAC0002,086282,1998,08,14.8,Y
IDCJAC0002,086282,1998,09,18.0,Y
IDCJAC0002,086282,1998,10,18.7,Y
IDCJAC0002,086282,1998,11,20.9,Y
IDCJAC0002,086282,1998,12,24.7,Y
IDCJAC0002,086282,1999,01,27.0,Y
IDCJAC0002,086282,1999,02,27.7,Y
IDCJAC0002,086282,1999,03,23.2,Y
IDCJAC0002,086282,1999,04,19.0,Y
IDCJAC0002,086282,1999,05,17.9,Y
IDCJAC0002,086282,1999,06,14.3,Y
IDCJAC0002,086282,1999,07,14.1,Y
IDCJAC0002,086282,1999,08,15.2,Y
IDCJAC0002,086282,1999,09,18.4,Y
IDCJAC0002,086282,1999,10,20.2,Y
IDCJAC0002,086282,1999,11,22.2,Y
IDCJAC0002,086282,1999,12,24.0,Y
IDCJAC0002,086282,2000,01,24.9,Y
IDCJAC0002,086282,2000,02,29.5,Y
IDCJAC0002,086282,2000,03,25.5,Y
IDCJAC0002,086282,2000,04,21.2,Y
IDCJAC0002,086282,2000,05,15.8,Y
IDCJAC0002,086282,2000,06,13.6,Y
IDCJAC0002,086282,2000,07,13.3,Y
IDCJAC0002,086282,2000,08,14.8,Y
IDCJAC0002,086282,2000,09,17.2,Y
IDCJAC0002,086282,2000,10,17.8,Y
IDCJAC0002,086282,2000,11,22.9,Y
IDCJAC0002,086282,2000,12,26.2,Y
IDCJAC0002,086282,2001,01,29.7,Y
IDCJAC0002,086282,2001,02,29.2,Y
IDCJAC0002,086282,2001,03,24.2,Y
IDCJAC0002,086282,2001,04,20.2,Y
IDCJAC0002,086282,2001,05,16.0,Y
IDCJAC0002,086282,2001,06,14.9,Y
IDCJAC0002,086282,2001,07,13.4,Y
IDCJAC0002,086282,2001,08,14.6,Y
IDCJAC0002,086282,2001,09,18.5,Y
IDCJAC0002,086282,2001,10,18.7,Y
IDCJAC0002,086282,2001,11,20.3,Y
IDCJAC0002,086282,2001,12,21.0,Y
IDCJAC0002,086282,2002,01,25.1,Y
IDCJAC0002,086282,2002,02,24.7,Y
IDCJAC0002,086282,2002,03,23.8,Y
IDCJAC0002,086282,2002,04,21.2,Y
IDCJAC0002,086282,2002,05,17.9,Y
IDCJAC0002,086282,2002,06,14.8,Y
IDCJAC0002,086282,2002,07,14.3,Y
IDCJAC0002,086282,2002,08,15.2,Y
IDCJAC0002,086282,2002,09,18.0,Y
IDCJAC0002,086282,2002,10,20.5,Y
IDCJAC0002,086282,2002,11,23.8,Y
IDCJAC0002,086282,2002,12,25.2,Y
IDCJAC0002,086282,2003,01,27.7,Y
IDCJAC0002,086282,2003,02,26.0,Y
IDCJAC0002,086282,2003,03,23.7,Y
IDCJAC0002,086282,2003,04,20.4,Y
IDCJAC0002,086282,2003,05,18.0,Y
IDCJAC0002,086282,2003,06,14.7,Y
IDCJAC0002,086282,2003,07,13.6,Y
IDCJAC0002,086282,2003,08,13.7,Y
IDCJAC0002,086282,2003,09,16.4,Y
IDCJAC0002,086282,2003,10,16.4,Y
IDCJAC0002,086282,2003,11,22.8,Y
IDCJAC0002,086282,2003,12,27.4,Y
IDCJAC0002,086282,2004,01,24.8,Y
IDCJAC0002,086282,2004,02,26.4,Y
IDCJAC0002,086282,2004,03,23.5,Y
IDCJAC0002,086282,2004,04,20.9,Y
IDCJAC0002,086282,2004,05,16.3,Y
IDCJAC0002,086282,2004,06,13.9,Y
IDCJAC0002,086282,2004,07,12.9,Y
IDCJAC0002,086282,2004,08,15.2,Y
IDCJAC0002,086282,2004,09,15.9,Y
IDCJAC0002,086282,2004,10,20.2,Y
IDCJAC0002,086282,2004,11,21.4,Y
IDCJAC0002,086282,2004,12,23.9,Y
IDCJAC0002,086282,2005,01,26.7,Y
IDCJAC0002,086282,2005,02,23.3,Y
IDCJAC0002,086282,2005,03,23.1,Y
IDCJAC0002,086282,2005,04,23.4,Y
IDCJAC0002,086282,2005,05,17.8,Y
IDCJAC0002,086282,2005,06,15.4,Y
IDCJAC0002,086282,2005,07,14.1,Y
IDCJAC0002,086282,2005,08,14.9,Y
IDCJAC0002,086282,2005,09,17.0,Y
IDCJAC0002,086282,2005,10,20.5,Y
IDCJAC0002,086282,2005,11,23.7,Y
IDCJAC0002,086282,2005,12,27.5,Y
IDCJAC0002,086282,2006,01,27.9,Y
IDCJAC0002,086282,2006,02,25.2,Y
IDCJAC0002,086282,2006,03,26.0,Y
IDCJAC0002,086282,2006,04,18.6,Y
IDCJAC0002,086282,2006,05,15.2,Y
IDCJAC0002,086282,2006,06,13.0,Y
IDCJAC0002,086282,2006,07,13.1,Y
IDCJAC0002,086282,2006,08,15.8,Y
IDCJAC0002,086282,2006,09,18.6,Y
IDCJAC0002,086282,2006,10,21.5,Y
IDCJAC0002,086282,2006,11,22.8,Y
IDCJAC0002,086282,2006,12,25.2,Y
IDCJAC0002,086282,2007,01,28.3,Y
IDCJAC0002,086282,2007,02,29.6,Y
IDCJAC0002,086282,2007,03,25.5,Y
IDCJAC0002,086282,2007,04,22.2,Y
IDCJAC0002,086282,2007,05,18.7,Y
IDCJAC0002,086282,2007,06,12.6,Y
IDCJAC0002,086282,2007,07,12.5,Y
IDCJAC0002,086282,2007,08,16.0,Y
IDCJAC0002,086282,2007,09,18.0,Y
IDCJAC0002,086282,2007,10,21.2,Y
IDCJAC0002,086282,2007,11,24.2,Y
IDCJAC0002,086282,2007,12,26.3,Y
IDCJAC0002,086282,2008,01,27.7,Y
IDCJAC0002,086282,2008,02,24.1,Y
IDCJAC0002,086282,2008,03,27.1,Y
IDCJAC0002,086282,2008,04,20.5,Y
IDCJAC0002,086282,2008,05,16.2,Y
IDCJAC0002,086282,2008,06,14.7,Y
IDCJAC0002,086282,2008,07,12.9,Y
IDCJAC0002,086282,2008,08,13.4,Y
IDCJAC0002,086282,2008,09,18.4,Y
IDCJAC0002,086282,2008,10,21.7,Y
IDCJAC0002,086282,2008,11,22.8,Y
IDCJAC0002,086282,2008,12,23.0,Y
IDCJAC0002,086282,2009,01,28.8,Y
IDCJAC0002,086282,2009,02,27.9,Y
IDCJAC0002,086282,2009,03,24.2,Y
IDCJAC0002,086282,2009,04,20.3,Y
IDCJAC0002,086282,2009,05,17.0,Y
IDCJAC0002,086282,2009,06,14.3,Y
IDCJAC0002,086282,2009,07,13.9,Y
IDCJAC0002,086282,2009,08,15.8,Y
IDCJAC0002,086282,2009,09,17.9,Y
IDCJAC0002,086282,2009,10,19.4,Y
IDCJAC0002,086282,2009,11,26.8,Y
IDCJAC0002,086282,2009,12,25.1,Y
IDCJAC0002,086282,2010,01,27.0,Y
IDCJAC0002,086282,2010,02,27.8,Y
IDCJAC0002,086282,2010,03,25.0,Y
IDCJAC0002,086282,2010,04,22.1,Y
IDCJAC0002,086282,2010,05,17.3,Y
IDCJAC0002,086282,2010,06,13.4,Y
IDCJAC0002,086282,2010,07,13.3,Y
IDCJAC0002,086282,2010,08,13.4,Y
IDCJAC0002,086282,2010,09,15.1,Y
IDCJAC0002,086282,2010,10,19.4,Y
IDCJAC0002,086282,2010,11,22.0,Y
IDCJAC0002,086282,2010,12,24.1,Y
IDCJAC0002,086282,2011,01,26.2,Y
IDCJAC0002,086282,2011,02,24.2,Y
IDCJAC0002,086282,2011,03,22.5,Y
IDCJAC0002,086282,2011,04,20.3,Y
IDCJAC0002,086282,2011,05,15.2,Y
IDCJAC0002,086282,2011,06,14.6,Y
IDCJAC0002,086282,2011,07,13.5,Y
IDCJAC0002,086282,2011,08,16.3,Y
IDCJAC0002,086282,2011,09,18.4,Y
IDCJAC0002,086282,2011,10,19.8,Y
IDCJAC0002,086282,2011,11,23.4,Y
IDCJAC0002,086282,2011,12,24.4,Y
IDCJAC0002,086282,2012,01,27.4,Y
IDCJAC0002,086282,2012,02,26.9,Y
IDCJAC0002,086282,2012,03,22.6,Y
IDCJAC0002,086282,2012,04,21.0,Y
IDCJAC0002,086282,2012,05,15.7,Y
IDCJAC0002,086282,2012,06,13.4,Y
IDCJAC0002,086282,2012,07,13.6,Y
IDCJAC0002,086282,2012,08,14.1,Y
IDCJAC0002,086282,2012,09,17.7,Y
IDCJAC0002,086282,2012,10,20.3,Y
IDCJAC0002,086282,2012,11,23.3,Y
IDCJAC0002,086282,2012,12,26.0,Y
IDCJAC0002,086282,2013,01,28.0,Y
IDCJAC0002,086282,2013,02,29.0,Y
IDCJAC0002,086282,2013,03,26.9,Y
IDCJAC0002,086282,2013,04,20.5,Y
IDCJAC0002,086282,2013,05,17.7,Y
IDCJAC0002,086282,2013,06,14.1,Y
IDCJAC0002,086282,2013,07,14.7,Y
IDCJAC0002,086282,2013,08,15.6,Y
IDCJAC0002,086282,2013,09,19.1,Y
IDCJAC0002,086282,2013,10,18.9,Y
